PRIMARY_ID,SECONDARY_ID,PRIMARY_TRANSACTIONS,SECONDARY_TRANSACTIONS,PAIR_TRANSACTIONS,JACCARD,segment
500 STRUCTURAL FRAMING H3 2 KD,500 FASCIA,13,11,4,0.2,0
500 STRUCTURAL FRAMING H3 2 KD,PALLETS NZ C,13,11,4,0.2,0
500 FIBRE CEMENT EAVE LINING,500 FASCIA,12,11,4,0.21052631578947364,0
500 FASCIA,500 STRUCTURAL FRAMING H3 2 KD,11,12,4,0.21052631578947367,0
500 SHEETING NAILS,500 FIBRE CEMENT EAVE LINING,6,11,3,0.21428571428571425,0
500 FIBRE CEMENT EAVE LINING,500 SHEETING NAILS,12,5,3,0.21428571428571427,0
PALLETS NZ C,500 FIBRE CEMENT WEATHERBRD,12,5,3,0.2142857142857143,0
500 FASCIA,500 FIBRE CEMENT EAVE LINING,11,11,4,0.2222222222222222,0
500 FIBRE CEMENT WEATHERBRD,PALLETS NZ C,5,11,3,0.23076923076923078,0
500 FASCIA,500 TIMBER WEATHERBOARDS,11,10,4,0.23529411764705876,0
500 FIBRE CEMENT EAVE LINING,500 FIBRE CEMENT SHEETING ACC,12,20,7,0.2800000000000001,0
500 FIBRE CEMENT WEATHERBRD,500 PAINT SILICONES,5,7,3,0.3333333333333333,0
500 PAINT SILICONES,500 FIBRE CEMENT WEATHERBRD,7,5,3,0.3333333333333333,0
500 BULLET HEAD,500 TIMBER WEATHERBOARDS,7,10,3,0.2142857142857143,1
500 FLAT HEAD,500 BUILDING BRACKETS,6,11,3,0.2142857142857143,1
500 TIMBER WEATHERBOARDS,500 BULLET HEAD,10,6,3,0.23076923076923073,1
500 TIMBER WEATHERBOARDS,500 FLAT HEAD,10,6,3,0.23076923076923073,1
500 FLAT HEAD,500 TIMBER WEATHERBOARDS,6,10,3,0.23076923076923075,1
500 TIMBER WEATHERBOARDS,500 FASCIA,10,11,4,0.23529411764705876,1
500 BULLET HEAD,500 WEATHERBOARDS,7,13,4,0.24999999999999997,1
500 BULLET HEAD,500 FLAT HEAD,7,6,3,0.3,1
500 FLAT HEAD,500 BULLET HEAD,6,6,3,0.3333333333333333,1
500 BRICK TIES,500 FLAT HEAD,3,6,3,0.5,1
500 FLAT HEAD,500 BRICK TIES,6,3,3,0.5,1
500 BUILDING BRACKETS,500 FLAT HEAD,11,6,3,0.21428571428571427,2
500 BUILDING BRACKETS,500 CONNECTORS,11,27,7,0.22580645161290322,2
500 CONNECTORS,500 BUILDING BRACKETS,27,11,7,0.22580645161290322,2
500 BUILDING BRACKETS,500 MASONRY FASTENER,11,5,3,0.23076923076923078,2
500 MASONRY FASTENER,500 BUILDING BRACKETS,5,11,3,0.23076923076923078,2
500 BUILDING BRACKETS,500 STAPLERS,11,4,3,0.25,2
500 STAPLERS,500 BUILDING BRACKETS,4,11,3,0.25,2
500 PINE MOULDINGS UT EACH,500 PAINT ADHESIVES,8,16,4,0.2,3
501 BATTEN,500 PLASTER TRIMS,15,3,3,0.2,3
500 PAINT ADHESIVES,501 BATTEN,16,14,5,0.20000000000000004,3
500 PINE MOULDINGS TRTD PP EA,501 BATTEN,4,14,3,0.20000000000000004,3
500 PLASTER TRIMS,501 BATTEN,3,14,3,0.21428571428571427,3
500 PLYWOOD FLOORING,500 PAINT ADHESIVES,5,16,4,0.2352941176470588,3
500 PAINT ADHESIVES,500 PLYWOOD FLOORING,16,5,4,0.23529411764705885,3
500 PLASTER CLADDING,500 PAINT ADHESIVES,9,16,5,0.24999999999999997,3
500 PAINT ADHESIVES,500 PLASTER CLADDING,16,9,5,0.25,3
501 BATTEN,500 FIBRE CEMENT SHEETING ACC,15,20,7,0.25000000000000006,3
500 BUILDING WRAP,501 BATTEN,34,14,8,0.2,4
500 NONSTRUCT TRTD PINE GG LNK,500 WEATHERBOARDS,5,13,3,0.2,4
500 WEATHERBOARDS,500 COLLATED NAILS,13,17,5,0.2,4
500 COLLATED NAILS,500 BUILDING WRAP,19,34,9,0.20454545454545453,4
500 WEATHERBOARDS,500 BUILDING WRAP,13,34,8,0.20512820512820512,4
500 BUILDING WRAP,500 WEATHERBOARDS,34,13,8,0.20512820512820515,4
500 FIBRE CEMENT SHEETING ACC,500 WEATHERBOARDS,21,13,6,0.21428571428571427,4
500 STRUCT FRAMG H1 2 KD LINKD,500 NONSTRUCT TRTD PINE GG LNK,12,5,3,0.21428571428571427,4
500 NONSTRUCT TRTD PINE GG LNK,500 STRUCT FRAMG H1 2 KD LINKD,5,12,3,0.2142857142857143,4
500 BUILDING WRAP,500 COLLATED NAILS,34,17,9,0.21428571428571433,4
500 WEATHERBOARDS,500 FIBRE CEMENT SHEETING ACC,13,20,6,0.22222222222222218,4
500 FASCIA LINKED,500 STRUCT FRAMG H1 2 KD LINKD,4,12,3,0.23076923076923075,4
500 STRUCT FRAMG H1 2 KD LINKD,500 FASCIA LINKED,12,4,3,0.23076923076923078,4
500 FIBRE CEMENT SHEETING ACC,500 NONSTRUCT TRTD PINE GG LNK,21,5,5,0.23809523809523808,4
500 FIBRE CEMENT SHEETING ACC,501 BATTEN,21,14,7,0.25,4
500 NONSTRUCT TRTD PINE GG LNK,500 FIBRE CEMENT SHEETING ACC,5,20,5,0.25,4
500 FIBRE CEMENT SHEETING ACC,500 BUILDING WRAP,21,34,11,0.25000000000000006,4
500 BUILDING WRAP,500 FIBRE CEMENT SHEETING ACC,34,20,11,0.2558139534883721,4
500 WEATHERBOARDS,500 BULLET HEAD,13,6,4,0.26666666666666666,4
500 FIBRE CEMENT SHEETING ACC,500 FIBRE CEMENT EAVE LINING,21,11,7,0.27999999999999997,4
500 FASCIA LINKED,500 NONSTRUCT TRTD PINE GG LNK,4,5,3,0.49999999999999994,4
500 NONSTRUCT TRTD PINE GG LNK,500 FASCIA LINKED,5,4,3,0.5000000000000001,4
